cu_purchase_dt,cu_start_dt,cu_cancel_dt,tenure,types,type_label,esc_ticket_cnt,doc_mgmnt,rec_acct,non_appt_ci,appt_ci,call_prep,days_diff_purdt_custartdt,y_pred
2/1/2021,4/5/2021,12/1/2021,590,3,Loyalist,0,6.9,1.5,0.6,0.8,0.3,63,2
2/1/2021,4/5/2021,12/1/2021,590,3,Loyalist,0,6.9,1.5,0.6,0.8,0.3,63,2
4/9/2021,4/27/2021,4/11/2022,523,1,Dissatisfied,0,7.8,8.8,0.8,1.7,1,18,1
4/9/2021,4/27/2021,4/11/2022,523,1,Dissatisfied,0,7.8,8.8,0.8,1.7,1,18,1
11/20/2020,2/22/2021,6/9/2021,663,3,Loyalist,0,7.5,35,9.7,0.5,0.3,94,3
11/20/2020,2/22/2021,6/9/2021,663,3,Loyalist,0,7.5,35,9.7,0.5,0.3,94,3
8/13/2021,8/20/2021,10/1/2021,397,0,High_Maintenance,1,0.2,3.2,0.2,0.4,0.9,7,0
8/13/2021,8/20/2021,10/1/2021,397,0,High_Maintenance,1,0.2,3.2,0.2,0.4,0.9,7,0
6/21/2021,8/2/2021,9/21/2021,891,4,Satisfied,0,1.3,28.1,5.9,22,0.8,42,4
6/21/2021,8/2/2021,9/21/2021,891,4,Satisfied,0,1.3,28.1,5.9,22,0.8,42,4
2/27/2021,6/30/2021,6/24/2022,564,2,Potential_Loyalist,0,18,4.1,0.6,1.9,0.4,123,2
2/27/2021,6/30/2021,6/24/2022,564,2,Potential_Loyalist,0,18,4.1,0.6,1.9,0.4,123,2
5/24/2021,6/7/2021,9/9/2021,478,0,High_Maintenance,0,6.2,1.9,0.8,2.7,1.3,14,0
5/24/2021,6/7/2021,9/9/2021,478,0,High_Maintenance,0,6.2,1.9,0.8,2.7,1.3,14,0
5/17/2021,6/11/2021,2/3/2022,485,0,High_Maintenance,0,0.8,12.7,4.2,4.3,0.2,25,0
5/17/2021,6/11/2021,2/3/2022,485,0,High_Maintenance,0,0.8,12.7,4.2,4.3,0.2,25,0
4/2/2021,4/29/2021,8/1/2021,530,1,Dissatisfied,0,5.7,4.9,1.1,1.1,0.4,27,1
4/2/2021,4/29/2021,8/1/2021,530,1,Dissatisfied,0,5.7,4.9,1.1,1.1,0.4,27,1
3/22/2021,4/9/2021,10/22/2021,539,1,Dissatisfied,0,8.3,5,0.7,1.1,0.4,18,2
3/22/2021,4/9/2021,10/22/2021,539,1,Dissatisfied,0,8.3,5,0.7,1.1,0.4,18,2
2/25/2021,4/8/2021,9/28/2021,566,2,Potential_Loyalist,0,11.4,84.6,3.2,4.3,0.9,42,2
2/25/2021,4/8/2021,9/28/2021,566,2,Potential_Loyalist,0,11.4,84.6,3.2,4.3,0.9,42,2
5/28/2021,8/4/2021,11/1/2021,474,0,High_Maintenance,0,4.1,3.3,9.4,1.2,0.5,68,0
5/28/2021,8/4/2021,11/1/2021,474,0,High_Maintenance,0,4.1,3.3,9.4,1.2,0.5,68,0
1/26/2022,4/19/2021,3/22/2022,571,2,Potential_Loyalist,0,797.4,329.9,32.9,42.3,41.4,282,2
2/20/2021,4/19/2021,3/22/2022,571,2,Potential_Loyalist,0,797.4,329.9,32.9,42.3,41.4,58,2
10/26/2021,4/19/2021,3/22/2022,571,2,Potential_Loyalist,0,797.4,329.9,32.9,42.3,41.4,190,2
1/26/2022,4/19/2021,3/22/2022,571,2,Potential_Loyalist,0,797.4,329.9,32.9,42.3,41.4,282,2
2/20/2021,4/19/2021,3/22/2022,571,2,Potential_Loyalist,0,797.4,329.9,32.9,42.3,41.4,58,2
10/26/2021,4/19/2021,3/22/2022,571,2,Potential_Loyalist,0,797.4,329.9,32.9,42.3,41.4,190,2
6/7/2021,7/23/2021,1/31/2022,464,0,High_Maintenance,0,4.3,4.4,0.7,2.5,1.5,46,0
6/7/2021,7/23/2021,1/31/2022,464,0,High_Maintenance,0,4.3,4.4,0.7,2.5,1.5,46,0
5/24/2021,6/9/2021,7/30/2022,478,0,High_Maintenance,2,3.8,17.7,0.5,2.9,1.6,16,0
5/24/2021,6/9/2021,7/30/2022,478,0,High_Maintenance,2,3.8,17.7,0.5,2.9,1.6,16,0
2/26/2021,4/26/2021,8/23/2021,565,2,Potential_Loyalist,0,14.5,40.2,9.5,4.4,0.6,59,2
2/26/2021,4/26/2021,8/23/2021,565,2,Potential_Loyalist,0,14.5,40.2,9.5,4.4,0.6,59,2
12/26/2020,3/21/2021,2/23/2021,627,3,Loyalist,0,2.9,5.5,1.9,2.9,7.5,85,3
12/26/2020,3/21/2021,2/23/2021,627,3,Loyalist,0,2.9,5.5,1.9,2.9,7.5,85,3
4/6/2021,5/19/2021,9/9/2021,526,1,Dissatisfied,0,6.5,17.9,4.2,4.1,0.3,43,1
4/6/2021,5/19/2021,9/9/2021,526,1,Dissatisfied,0,6.5,17.9,4.2,4.1,0.3,43,1
2/3/2021,3/16/2021,4/16/2021,588,3,Loyalist,0,9.6,7.4,2.1,4.7,1.7,41,2
2/3/2021,3/16/2021,4/16/2021,588,3,Loyalist,0,9.6,7.4,2.1,4.7,1.7,41,2
4/28/2021,5/13/2021,8/6/2021,504,1,Dissatisfied,0,1.7,8.5,0.2,1,0.5,15,1
4/28/2021,5/13/2021,8/6/2021,504,1,Dissatisfied,0,1.7,8.5,0.2,1,0.5,15,1
2/11/2021,3/9/2021,6/8/2022,580,2,Potential_Loyalist,1,11.1,16.8,6.6,10.2,0.5,26,2
2/11/2021,3/9/2021,6/8/2022,580,2,Potential_Loyalist,1,11.1,16.8,6.6,10.2,0.5,26,2
2/25/2021,7/15/2021,9/1/2021,566,2,Potential_Loyalist,0,20.7,22.2,1.5,4.7,3.1,140,2
2/25/2021,7/15/2021,9/1/2021,566,2,Potential_Loyalist,0,20.7,22.2,1.5,4.7,3.1,140,2
3/8/2021,3/24/2021,7/8/2021,555,2,Potential_Loyalist,0,4.4,19.1,2.6,0.6,0.7,16,2
3/8/2021,3/24/2021,7/8/2021,555,2,Potential_Loyalist,0,4.4,19.1,2.6,0.6,0.7,16,2
5/6/2021,5/12/2021,8/11/2021,496,1,Dissatisfied,0,3.4,1.4,0.5,0.5,2.1,6,0
5/6/2021,5/12/2021,8/11/2021,496,1,Dissatisfied,0,3.4,1.4,0.5,0.5,2.1,6,0
11/29/2020,2/1/2021,5/4/2021,654,3,Loyalist,0,6.2,7.9,7,1.9,2.8,64,3
11/29/2020,2/1/2021,5/4/2021,654,3,Loyalist,0,6.2,7.9,7,1.9,2.8,64,3
1/14/2021,2/23/2021,6/1/2022,608,3,Loyalist,0,0.5,6.2,1.1,1,0.6,40,3
1/14/2021,2/23/2021,6/1/2022,608,3,Loyalist,0,0.5,6.2,1.1,1,0.6,40,3
3/26/2021,5/4/2021,5/17/2021,537,1,Dissatisfied,0,14.3,14.8,1.9,2.3,2.9,39,2
3/26/2021,5/4/2021,5/17/2021,537,1,Dissatisfied,0,14.3,14.8,1.9,2.3,2.9,39,2
6/1/2021,7/13/2021,11/2/2021,470,0,High_Maintenance,0,9.2,52.7,3.5,0.3,2.1,42,0
6/1/2021,7/13/2021,11/2/2021,470,0,High_Maintenance,0,9.2,52.7,3.5,0.3,2.1,42,0
2/10/2021,4/7/2021,6/14/2021,581,2,Potential_Loyalist,0,7.3,10.7,5.2,5.6,0.5,56,2
2/10/2021,4/7/2021,6/14/2021,581,2,Potential_Loyalist,0,7.3,10.7,5.2,5.6,0.5,56,2
4/22/2021,5/18/2021,5/18/2022,510,1,Dissatisfied,0,2,1.1,0.2,0.8,7.1,26,1
4/22/2021,5/18/2021,5/18/2022,510,1,Dissatisfied,0,2,1.1,0.2,0.8,7.1,26,1
2/24/2021,4/1/2021,6/23/2021,567,2,Potential_Loyalist,0,1.2,58.4,1.7,1.1,4.8,36,2
2/24/2021,4/1/2021,6/23/2021,567,2,Potential_Loyalist,0,1.2,58.4,1.7,1.1,4.8,36,2
1/29/2021,2/9/2021,4/18/2022,593,3,Loyalist,0,1.2,3.1,0.6,2,0.4,11,3
1/29/2021,2/9/2021,4/18/2022,593,3,Loyalist,0,1.2,3.1,0.6,2,0.4,11,3
12/10/2020,1/13/2021,5/20/2021,643,3,Loyalist,0,12.1,6.5,14.1,1.9,1.1,34,3
12/10/2020,1/13/2021,5/20/2021,643,3,Loyalist,0,12.1,6.5,14.1,1.9,1.1,34,3
5/8/2021,5/25/2021,8/1/2021,494,0,High_Maintenance,0,2.4,8.6,0.1,0.6,0.4,17,0
5/8/2021,5/25/2021,8/1/2021,494,0,High_Maintenance,0,2.4,8.6,0.1,0.6,0.4,17,0
2/11/2021,2/18/2021,12/13/2021,580,2,Potential_Loyalist,0,2.6,26.2,0.5,3.4,0.1,7,2
2/11/2021,2/18/2021,12/13/2021,580,2,Potential_Loyalist,0,2.6,26.2,0.5,3.4,0.1,7,2
12/22/2020,2/2/2021,3/29/2021,631,3,Loyalist,0,5.7,7.7,0.3,8.8,2,42,3
12/22/2020,2/2/2021,3/29/2021,631,3,Loyalist,0,5.7,7.7,0.3,8.8,2,42,3
3/4/2021,5/17/2021,5/3/2021,559,2,Potential_Loyalist,0,3.5,7.3,0.7,10.4,0,74,2
3/4/2021,5/17/2021,5/3/2021,559,2,Potential_Loyalist,0,3.5,7.3,0.7,10.4,0,74,2
8/19/2021,8/24/2021,5/23/2022,391,0,High_Maintenance,0,0.2,14.1,2.4,2.3,7.3,5,0
8/19/2021,8/24/2021,5/23/2022,391,0,High_Maintenance,0,0.2,14.1,2.4,2.3,7.3,5,0
11/29/2020,2/8/2021,4/6/2021,654,3,Loyalist,0,1.8,47.9,14,2.4,1.7,71,3
11/29/2020,2/8/2021,4/6/2021,654,3,Loyalist,0,1.8,47.9,14,2.4,1.7,71,3
3/10/2021,3/25/2021,4/9/2021,553,2,Potential_Loyalist,0,0.8,14.3,0.1,1,2.3,15,1
3/10/2021,3/25/2021,4/9/2021,553,2,Potential_Loyalist,0,0.8,14.3,0.1,1,2.3,15,1
5/12/2021,6/17/2021,3/22/2022,490,0,High_Maintenance,0,3.3,14.7,9.1,1.4,2,36,0
5/12/2021,6/17/2021,3/22/2022,490,0,High_Maintenance,0,3.3,14.7,9.1,1.4,2,36,0
2/17/2021,5/7/2021,3/24/2022,574,2,Potential_Loyalist,0,23.6,22.4,10.9,2.1,5.3,79,2
2/17/2021,5/7/2021,3/24/2022,574,2,Potential_Loyalist,0,23.6,22.4,10.9,2.1,5.3,79,2
2/5/2021,3/2/2021,9/3/2021,586,3,Loyalist,0,1.8,3.2,2.1,2.2,1,25,2
2/5/2021,3/2/2021,9/3/2021,586,3,Loyalist,0,1.8,3.2,2.1,2.2,1,25,2
3/29/2021,4/20/2021,3/26/2022,534,1,Dissatisfied,0,2.7,3.2,0.2,0.9,1.2,22,2
3/29/2021,4/20/2021,3/26/2022,534,1,Dissatisfied,0,2.7,3.2,0.2,0.9,1.2,22,2
2/26/2021,4/14/2021,4/27/2022,565,2,Potential_Loyalist,0,23.2,48,1,2.5,0.3,47,2
2/26/2021,4/14/2021,4/27/2022,565,2,Potential_Loyalist,0,23.2,48,1,2.5,0.3,47,2
3/9/2021,3/17/2021,7/13/2021,554,2,Potential_Loyalist,0,46.8,0.7,0,1.1,1.1,8,2
3/9/2021,3/17/2021,7/13/2021,554,2,Potential_Loyalist,0,46.8,0.7,0,1.1,1.1,8,2
3/29/2021,5/14/2021,7/13/2022,534,1,Dissatisfied,1,6.9,2.8,1.5,7.7,7,46,1
3/29/2021,5/14/2021,7/13/2022,534,1,Dissatisfied,1,6.9,2.8,1.5,7.7,7,46,1
11/10/2020,11/30/2020,6/1/2021,673,3,Loyalist,0,0.3,16.6,3.6,2,1,20,3
11/10/2020,11/30/2020,6/1/2021,673,3,Loyalist,0,0.3,16.6,3.6,2,1,20,3
2/25/2021,8/12/2021,9/10/2021,566,2,Potential_Loyalist,0,7.9,53.3,2.7,1.8,2.5,168,2
2/25/2021,8/12/2021,9/10/2021,566,2,Potential_Loyalist,0,7.9,53.3,2.7,1.8,2.5,168,2
12/17/2020,2/22/2021,2/22/2021,636,3,Loyalist,0,20.9,30.2,2.3,16.9,9.5,67,3
12/17/2020,2/22/2021,2/22/2021,636,3,Loyalist,0,20.9,30.2,2.3,16.9,9.5,67,3
2/12/2021,3/21/2021,8/18/2021,579,2,Potential_Loyalist,0,5.2,20.6,1.3,5.6,0.5,37,2
2/12/2021,3/21/2021,8/18/2021,579,2,Potential_Loyalist,0,5.2,20.6,1.3,5.6,0.5,37,2
2/12/2021,3/21/2021,8/18/2021,579,2,Potential_Loyalist,0,5.2,20.6,1.3,5.6,0.5,37,2
2/12/2021,3/21/2021,8/18/2021,579,2,Potential_Loyalist,0,5.2,20.6,1.3,5.6,0.5,37,2
8/9/2021,8/27/2021,12/1/2021,401,0,High_Maintenance,0,1.3,10.1,4.8,3.9,0.1,18,0
8/9/2021,8/27/2021,12/1/2021,401,0,High_Maintenance,0,1.3,10.1,4.8,3.9,0.1,18,0
11/28/2020,12/7/2020,4/17/2021,655,3,Loyalist,0,1.6,10.2,2.3,2.4,0.2,9,3
11/28/2020,12/7/2020,4/17/2021,655,3,Loyalist,0,1.6,10.2,2.3,2.4,0.2,9,3
5/27/2021,8/25/2021,8/9/2022,475,0,High_Maintenance,0,0.4,7,1.3,2.3,0.1,90,0
5/27/2021,8/25/2021,8/9/2022,475,0,High_Maintenance,0,0.4,7,1.3,2.3,0.1,90,0
3/1/2021,4/23/2021,9/8/2021,562,2,Potential_Loyalist,0,6.3,2.8,0.2,0.9,0,53,2
3/1/2021,4/23/2021,9/8/2021,562,2,Potential_Loyalist,0,6.3,2.8,0.2,0.9,0,53,2
12/16/2020,3/4/2021,5/25/2021,637,3,Loyalist,0,16.8,7.7,7.1,4.2,1.8,78,3
12/16/2020,3/4/2021,5/25/2021,637,3,Loyalist,0,16.8,7.7,7.1,4.2,1.8,78,3
2/22/2021,3/22/2021,8/20/2021,569,2,Potential_Loyalist,0,2.5,2.1,1.2,0.4,0.2,28,2
2/22/2021,3/22/2021,8/20/2021,569,2,Potential_Loyalist,0,2.5,2.1,1.2,0.4,0.2,28,2
3/19/2021,5/12/2021,6/28/2021,544,2,Potential_Loyalist,0,13.6,38.8,0.9,5.8,0.1,54,2
3/19/2021,5/12/2021,6/28/2021,544,2,Potential_Loyalist,0,13.6,38.8,0.9,5.8,0.1,54,2
3/30/2021,5/19/2021,7/19/2021,533,1,Dissatisfied,0,3.2,26.4,0.7,1.3,3.3,50,1
3/30/2021,5/19/2021,7/19/2021,533,1,Dissatisfied,0,3.2,26.4,0.7,1.3,3.3,50,1
3/29/2021,5/3/2021,6/1/2021,534,1,Dissatisfied,0,5.4,2,0.3,3.1,3.1,35,1
3/29/2021,5/3/2021,6/1/2021,534,1,Dissatisfied,0,5.4,2,0.3,3.1,3.1,35,1
1/27/2021,2/22/2021,8/4/2021,595,3,Loyalist,0,6.5,9.1,3,1.3,0.1,26,3
1/27/2021,2/22/2021,8/4/2021,595,3,Loyalist,0,6.5,9.1,3,1.3,0.1,26,3
3/2/2021,4/16/2021,5/27/2021,561,2,Potential_Loyalist,0,2.5,0.8,1.8,4.5,0.2,45,2
3/2/2021,4/16/2021,5/27/2021,561,2,Potential_Loyalist,0,2.5,0.8,1.8,4.5,0.2,45,2
4/26/2021,8/16/2021,1/20/2022,506,1,Dissatisfied,0,11.2,9,15.9,5.1,0.9,112,1
