cu_purchase_dt,cu_start_dt,cu_cancel_dt,tenure,types,type_label,esc_ticket_cnt,doc_mgmnt,rec_acct,non_appt_ci,appt_ci,call_prep,days_diff_purdt_custartdt,y_pred
4/26/2021,8/16/2021,1/20/2022,506,1,Dissatisfied,0,11.2,9,15.9,5.1,0.9,112,1
2/24/2021,5/17/2021,7/9/2021,567,2,Potential_Loyalist,0,15.7,2.6,1.8,0.8,0.1,82,2
2/24/2021,5/17/2021,7/9/2021,567,2,Potential_Loyalist,0,15.7,2.6,1.8,0.8,0.1,82,2
5/6/2021,7/30/2021,9/9/2021,496,1,Dissatisfied,0,19.6,21.9,1.5,0.5,0.5,85,0
5/6/2021,7/30/2021,9/9/2021,496,1,Dissatisfied,0,19.6,21.9,1.5,0.5,0.5,85,0
7/22/2021,8/30/2021,10/28/2021,419,0,High_Maintenance,0,10.4,5.7,10.3,1.4,0.4,39,0
7/22/2021,8/30/2021,10/28/2021,419,0,High_Maintenance,0,10.4,5.7,10.3,1.4,0.4,39,0
5/12/2021,8/9/2021,2/25/2022,490,0,High_Maintenance,0,28.1,1.3,1.1,3.3,0.5,89,0
5/12/2021,8/9/2021,2/25/2022,490,0,High_Maintenance,0,28.1,1.3,1.1,3.3,0.5,89,0
6/23/2022,8/5/2021,11/17/2021,429,0,High_Maintenance,1,248.8,460.8,72.8,66.9,42.1,322,0
6/23/2022,8/5/2021,11/17/2021,429,0,High_Maintenance,1,248.8,460.8,72.8,66.9,42.1,322,0
7/12/2021,8/5/2021,11/17/2021,429,0,High_Maintenance,1,248.8,460.8,72.8,66.9,42.1,24,0
7/12/2021,8/5/2021,11/17/2021,429,0,High_Maintenance,1,248.8,460.8,72.8,66.9,42.1,24,0
6/23/2022,8/5/2021,11/17/2021,429,0,High_Maintenance,1,248.8,460.8,72.8,66.9,42.1,322,0
6/23/2022,8/5/2021,11/17/2021,429,0,High_Maintenance,1,248.8,460.8,72.8,66.9,42.1,322,0
7/12/2021,8/5/2021,11/17/2021,429,0,High_Maintenance,1,248.8,460.8,72.8,66.9,42.1,24,0
7/12/2021,8/5/2021,11/17/2021,429,0,High_Maintenance,1,248.8,460.8,72.8,66.9,42.1,24,0
5/4/2021,8/12/2021,3/7/2022,498,1,Dissatisfied,0,7.7,15.7,1.3,0.5,0.1,100,0
5/4/2021,8/12/2021,3/7/2022,498,1,Dissatisfied,0,7.7,15.7,1.3,0.5,0.1,100,0
6/9/2021,6/22/2021,10/6/2021,462,0,High_Maintenance,0,15.4,1.7,0.8,3,0.2,13,0
6/9/2021,6/22/2021,10/6/2021,462,0,High_Maintenance,0,15.4,1.7,0.8,3,0.2,13,0
1/28/2021,3/11/2021,5/25/2021,594,3,Loyalist,0,2.2,1.2,2.7,1.5,1.4,42,3
1/28/2021,3/11/2021,5/25/2021,594,3,Loyalist,0,2.2,1.2,2.7,1.5,1.4,42,3
1/13/2021,2/9/2021,4/6/2021,609,3,Loyalist,0,1.6,14.2,0.1,1.2,0.4,27,3
1/13/2021,2/9/2021,4/6/2021,609,3,Loyalist,0,1.6,14.2,0.1,1.2,0.4,27,3
4/19/2021,6/3/2021,9/21/2021,513,1,Dissatisfied,0,2.5,3.9,0.6,1.1,8.7,45,1
4/19/2021,6/3/2021,9/21/2021,513,1,Dissatisfied,0,2.5,3.9,0.6,1.1,8.7,45,1
12/1/2020,1/4/2021,2/8/2022,652,3,Loyalist,0,8.9,19.3,4,10.7,6.9,34,3
12/1/2020,1/4/2021,2/8/2022,652,3,Loyalist,0,8.9,19.3,4,10.7,6.9,34,3
4/9/2021,7/14/2021,3/19/2022,523,1,Dissatisfied,0,14.3,49.9,3.7,0.2,0.5,96,1
4/9/2021,7/14/2021,3/19/2022,523,1,Dissatisfied,0,14.3,49.9,3.7,0.2,0.5,96,1
6/30/2021,7/26/2021,9/2/2021,441,0,High_Maintenance,0,1,10.2,1,0.8,13.2,26,0
6/30/2021,7/26/2021,9/2/2021,441,0,High_Maintenance,0,1,10.2,1,0.8,13.2,26,0
12/21/2020,2/9/2021,6/8/2021,632,3,Loyalist,0,1.3,8.2,0.6,2.5,0.8,50,3
12/21/2020,2/9/2021,6/8/2021,632,3,Loyalist,0,1.3,8.2,0.6,2.5,0.8,50,3
2/26/2021,4/5/2021,4/26/2022,565,2,Potential_Loyalist,0,18.4,7,0.1,2.8,6.1,38,2
2/26/2021,4/5/2021,4/26/2022,565,2,Potential_Loyalist,0,18.4,7,0.1,2.8,6.1,38,2
4/7/2021,5/18/2021,3/2/2022,525,1,Dissatisfied,0,11.8,62.7,0.2,2.1,1.3,41,1
4/7/2021,5/18/2021,3/2/2022,525,1,Dissatisfied,0,11.8,62.7,0.2,2.1,1.3,41,1
2/4/2021,6/24/2021,5/3/2021,587,3,Loyalist,0,11.8,0.8,0.9,2.2,1.6,140,2
2/4/2021,6/24/2021,5/3/2021,587,3,Loyalist,0,11.8,0.8,0.9,2.2,1.6,140,2
4/2/2021,4/26/2021,8/31/2021,530,1,Dissatisfied,0,2.7,7.6,1.4,0.3,0.3,24,1
4/2/2021,4/26/2021,8/31/2021,530,1,Dissatisfied,0,2.7,7.6,1.4,0.3,0.3,24,1
3/4/2021,6/10/2021,8/23/2021,559,2,Potential_Loyalist,0,11,3.4,7.1,1.4,0.1,98,2
3/4/2021,6/10/2021,8/23/2021,559,2,Potential_Loyalist,0,11,3.4,7.1,1.4,0.1,98,2
4/27/2021,6/23/2021,6/8/2021,505,1,Dissatisfied,0,6.1,50.3,6,1.1,3.4,57,1
4/27/2021,6/23/2021,6/8/2021,505,1,Dissatisfied,0,6.1,50.3,6,1.1,3.4,57,1
12/31/2020,3/11/2021,9/23/2021,622,3,Loyalist,0,8.9,107.7,16.9,22.2,12.9,70,4
12/31/2020,3/11/2021,9/23/2021,622,3,Loyalist,0,8.9,107.7,16.9,22.2,12.9,70,4
8/3/2021,8/25/2021,6/22/2022,407,0,High_Maintenance,0,2.3,2.4,1.3,0.2,0.6,22,0
8/3/2021,8/25/2021,6/22/2022,407,0,High_Maintenance,0,2.3,2.4,1.3,0.2,0.6,22,0
5/18/2021,7/15/2021,6/20/2022,484,0,High_Maintenance,3,8.6,51.2,0.8,6.6,0.3,58,0
5/18/2021,7/15/2021,6/20/2022,484,0,High_Maintenance,3,8.6,51.2,0.8,6.6,0.3,58,0
7/28/2021,8/13/2021,7/26/2022,413,0,High_Maintenance,0,3.2,116.7,2.3,0.8,5.4,16,0
7/28/2021,8/13/2021,7/26/2022,413,0,High_Maintenance,0,3.2,116.7,2.3,0.8,5.4,16,0
6/9/2021,7/27/2021,3/14/2022,462,0,High_Maintenance,2,6.8,28.9,10.3,2.7,0.7,48,0
6/9/2021,7/27/2021,3/14/2022,462,0,High_Maintenance,2,6.8,28.9,10.3,2.7,0.7,48,0
6/3/2021,7/16/2021,4/9/2022,468,0,High_Maintenance,0,4.4,1.7,1.4,0.1,1.3,43,0
6/3/2021,7/16/2021,4/9/2022,468,0,High_Maintenance,0,4.4,1.7,1.4,0.1,1.3,43,0
6/3/2021,7/27/2021,2/2/2022,468,0,High_Maintenance,0,30.3,6.5,10.8,7,0.6,54,0
6/3/2021,7/27/2021,2/2/2022,468,0,High_Maintenance,0,30.3,6.5,10.8,7,0.6,54,0
3/16/2021,4/27/2021,7/12/2021,547,2,Potential_Loyalist,0,22,2.8,5.8,0.9,0.5,42,2
3/16/2021,4/27/2021,7/12/2021,547,2,Potential_Loyalist,0,22,2.8,5.8,0.9,0.5,42,2
3/22/2021,4/19/2021,2/14/2022,541,1,Dissatisfied,0,2,61,19.5,1.3,0,28,2
3/22/2021,4/19/2021,2/14/2022,541,1,Dissatisfied,0,2,61,19.5,1.3,0,28,2
6/7/2021,7/13/2021,9/29/2021,464,0,High_Maintenance,0,7.2,7.2,0.1,1,0.1,36,0
6/7/2021,7/13/2021,9/29/2021,464,0,High_Maintenance,0,7.2,7.2,0.1,1,0.1,36,0
3/2/2021,3/24/2021,5/1/2021,561,2,Potential_Loyalist,0,8.1,11.3,1,3.3,1.8,22,2
3/2/2021,3/24/2021,5/1/2021,561,2,Potential_Loyalist,0,8.1,11.3,1,3.3,1.8,22,2
1/26/2021,4/13/2021,10/11/2021,596,3,Loyalist,0,6.5,2.4,2.4,3,0.3,77,3
1/26/2021,4/13/2021,10/11/2021,596,3,Loyalist,0,6.5,2.4,2.4,3,0.3,77,3
6/3/2021,7/23/2021,6/29/2021,817,3,Loyalist,0,3.8,9,6.8,27.3,0.3,50,3
6/3/2021,7/23/2021,6/29/2021,817,3,Loyalist,0,3.8,9,6.8,27.3,0.3,50,3
5/21/2021,6/24/2021,8/2/2021,481,0,High_Maintenance,0,4,0.4,0.8,0.8,2.6,34,0
5/21/2021,6/24/2021,8/2/2021,481,0,High_Maintenance,0,4,0.4,0.8,0.8,2.6,34,0
3/5/2021,5/3/2021,5/3/2021,558,2,Potential_Loyalist,0,4.2,6.5,0.2,1.1,0.5,59,2
3/5/2021,5/3/2021,5/3/2021,558,2,Potential_Loyalist,0,4.2,6.5,0.2,1.1,0.5,59,2
1/30/2021,3/1/2021,2/18/2021,592,3,Loyalist,0,7.2,17.4,0.1,1.9,2.8,30,3
1/30/2021,3/1/2021,2/18/2021,592,3,Loyalist,0,7.2,17.4,0.1,1.9,2.8,30,3
2/8/2021,3/24/2021,3/8/2021,583,2,Potential_Loyalist,0,2.4,43.8,5.1,1.2,0.2,44,2
2/8/2021,3/24/2021,3/8/2021,583,2,Potential_Loyalist,0,2.4,43.8,5.1,1.2,0.2,44,2
6/14/2021,7/19/2021,9/2/2021,457,0,High_Maintenance,0,2.6,4.4,6.2,2.2,1.4,35,0
6/14/2021,7/19/2021,9/2/2021,457,0,High_Maintenance,0,2.6,4.4,6.2,2.2,1.4,35,0
3/29/2021,8/18/2021,8/31/2022,541,1,Dissatisfied,7,57.8,6.8,35.4,10.5,4.1,142,1
3/29/2021,8/18/2021,8/31/2022,541,1,Dissatisfied,7,57.8,6.8,35.4,10.5,4.1,142,1
4/17/2021,6/30/2021,9/27/2021,515,1,Dissatisfied,0,24.5,26.6,5.2,0.3,0.4,74,1
4/17/2021,6/30/2021,9/27/2021,515,1,Dissatisfied,0,24.5,26.6,5.2,0.3,0.4,74,1
7/28/2021,8/25/2021,12/28/2021,413,0,High_Maintenance,0,0.7,1.3,0.4,2.2,0.3,28,0
7/28/2021,8/25/2021,12/28/2021,413,0,High_Maintenance,0,0.7,1.3,0.4,2.2,0.3,28,0
5/17/2021,7/26/2021,9/7/2021,485,0,High_Maintenance,0,5.8,20.7,0.7,3.1,0.7,70,0
5/17/2021,7/26/2021,9/7/2021,485,0,High_Maintenance,0,5.8,20.7,0.7,3.1,0.7,70,0
1/27/2021,6/29/2021,4/4/2022,595,3,Loyalist,0,18.8,71.8,0.8,0.3,11.2,153,3
1/27/2021,6/29/2021,4/4/2022,595,3,Loyalist,0,18.8,71.8,0.8,0.3,11.2,153,3
2/1/2021,4/8/2021,3/15/2022,590,3,Loyalist,0,5.2,5.5,0.9,1.2,2.9,66,2
2/1/2021,4/8/2021,3/15/2022,590,3,Loyalist,0,5.2,5.5,0.9,1.2,2.9,66,2
2/4/2021,3/22/2021,4/24/2021,587,3,Loyalist,0,3.2,4.9,1.6,2.5,1,46,2
2/4/2021,3/22/2021,4/24/2021,587,3,Loyalist,0,3.2,4.9,1.6,2.5,1,46,2
3/8/2021,5/21/2021,9/10/2021,555,2,Potential_Loyalist,0,2.7,9.4,1.2,2.7,0.9,74,2
3/8/2021,5/21/2021,9/10/2021,555,2,Potential_Loyalist,0,2.7,9.4,1.2,2.7,0.9,74,2
4/22/2021,5/3/2021,3/3/2022,510,1,Dissatisfied,0,19.8,36.5,0.8,1,1.2,11,1
4/22/2021,5/3/2021,3/3/2022,510,1,Dissatisfied,0,19.8,36.5,0.8,1,1.2,11,1
4/7/2021,6/16/2021,4/19/2022,525,1,Dissatisfied,0,27.7,65.7,2.5,1.7,0.8,70,1
4/7/2021,6/16/2021,4/19/2022,525,1,Dissatisfied,0,27.7,65.7,2.5,1.7,0.8,70,1
3/22/2021,5/4/2021,5/12/2021,541,1,Dissatisfied,0,3.2,8.2,1.7,0.8,4.2,43,1
3/22/2021,5/4/2021,5/12/2021,541,1,Dissatisfied,0,3.2,8.2,1.7,0.8,4.2,43,1
3/27/2021,4/9/2021,6/28/2021,536,1,Dissatisfied,0,28.9,26.2,3.5,0.4,2.7,13,2
3/27/2021,4/9/2021,6/28/2021,536,1,Dissatisfied,0,28.9,26.2,3.5,0.4,2.7,13,2
3/2/2021,5/26/2021,3/28/2022,561,2,Potential_Loyalist,0,4.5,16.9,3.1,4.5,1.8,85,2
3/2/2021,5/26/2021,3/28/2022,561,2,Potential_Loyalist,0,4.5,16.9,3.1,4.5,1.8,85,2
5/25/2021,7/26/2021,12/20/2021,477,0,High_Maintenance,0,12,7.4,3.5,0.8,1.1,62,0
5/25/2021,7/26/2021,12/20/2021,477,0,High_Maintenance,0,12,7.4,3.5,0.8,1.1,62,0
5/3/2021,5/14/2021,8/24/2022,499,1,Dissatisfied,1,3.2,20.2,1.6,4.5,3.3,11,0
5/3/2021,5/14/2021,8/24/2022,499,1,Dissatisfied,1,3.2,20.2,1.6,4.5,3.3,11,0
8/5/2021,8/6/2021,6/22/2022,881,3,Loyalist,0,2.1,8.4,0.6,21.9,2.3,1,4
8/5/2021,8/6/2021,6/22/2022,881,3,Loyalist,0,2.1,8.4,0.6,21.9,2.3,1,4
4/29/2021,7/6/2021,8/10/2021,503,1,Dissatisfied,0,14.2,23.3,1.1,0.9,0.1,68,1
4/29/2021,7/6/2021,8/10/2021,503,1,Dissatisfied,0,14.2,23.3,1.1,0.9,0.1,68,1
7/20/2021,7/28/2021,3/8/2021,755,3,Loyalist,1,2.6,21,1.1,3.8,0.6,8,0
7/20/2021,7/28/2021,3/8/2021,755,3,Loyalist,1,2.6,21,1.1,3.8,0.6,8,0
1/30/2021,2/22/2021,11/12/2021,592,3,Loyalist,0,6.4,2,0.2,1.2,0.7,23,3
1/30/2021,2/22/2021,11/12/2021,592,3,Loyalist,0,6.4,2,0.2,1.2,0.7,23,3
4/6/2022,5/11/2021,3/21/2022,511,1,Dissatisfied,6,52.7,23.3,5.2,9.5,5.6,330,1
4/21/2021,5/11/2021,3/21/2022,511,1,Dissatisfied,6,52.7,23.3,5.2,9.5,5.6,20,1
4/6/2022,5/11/2021,3/21/2022,511,1,Dissatisfied,6,52.7,23.3,5.2,9.5,5.6,330,1
4/21/2021,5/11/2021,3/21/2022,511,1,Dissatisfied,6,52.7,23.3,5.2,9.5,5.6,20,1
1/6/2021,4/22/2021,2/7/2022,616,3,Loyalist,2,105.9,833.5,99.2,50.1,9.5,106,3
3/25/2022,4/22/2021,2/7/2022,616,3,Loyalist,2,105.9,833.5,99.2,50.1,9.5,337,3
1/6/2021,4/22/2021,2/7/2022,616,3,Loyalist,2,105.9,833.5,99.2,50.1,9.5,106,3
3/25/2022,4/22/2021,2/7/2022,616,3,Loyalist,2,105.9,833.5,99.2,50.1,9.5,337,3
2/2/2022,7/22/2021,1/21/2022,474,0,High_Maintenance,0,14.7,51.9,22.1,12.8,11.1,195,0
5/28/2021,7/22/2021,1/21/2022,474,0,High_Maintenance,0,14.7,51.9,22.1,12.8,11.1,55,0
2/2/2022,7/22/2021,1/21/2022,474,0,High_Maintenance,0,14.7,51.9,22.1,12.8,11.1,195,0
5/28/2021,7/22/2021,1/21/2022,474,0,High_Maintenance,0,14.7,51.9,22.1,12.8,11.1,55,0
3/22/2021,4/19/2021,2/14/2022,544,2,Potential_Loyalist,0,2,61,19.5,1.3,0,28,2
3/22/2021,4/19/2021,2/14/2022,544,2,Potential_Loyalist,0,2,61,19.5,1.3,0,28,2
